mjd,mag,mag_err,UL,filter,detected
57633.39889,20.3843,0.098,False,I,1
57643.34216,19.9713,0.101,False,I,1
57648.31443,19.9593,0.079,False,I,1
57651.28975,19.6293,0.055,False,I,1
57654.33956,19.5703,0.072,False,I,1
57656.33311,19.5393,0.036,False,I,1
57658.3493,19.5503,0.044,False,I,1
57659.32939,19.5163,0.055,False,I,1
57660.31285,19.5283,0.049,False,I,1
57661.3273,19.5843,0.049,False,I,1
57663.29103,19.4343,0.034,False,I,1
57664.28568,19.4773,0.046,False,I,1
57666.30695,19.5193,0.044,False,I,1
57667.31913,19.4483,0.033,False,I,1
57671.32303,19.4003,0.03,False,I,1
57673.2765,19.3703,0.049,False,I,1
57674.37384,19.4443,0.08,False,I,1
57677.36642,19.2613,0.13,False,I,1
57680.31274,19.4803,0.067,False,I,1
57682.35136,19.4463,0.05,False,I,1
57683.32952,19.3803,0.072,False,I,1
57684.29711,19.5073,0.067,False,I,1
57686.32103,19.3983,0.05,False,I,1
57687.32273,19.5553,0.069,False,I,1
57688.32176,19.4273,0.039,False,I,1
57689.31748,19.4173,0.041,False,I,1
57690.32589,19.4093,0.039,False,I,1
57691.23731,19.4453,0.04,False,I,1
57693.33734,19.4363,0.05,False,I,1
57699.27295,19.4233,0.055,False,I,1
57703.1679,19.3993,0.048,False,I,1
57708.18993,19.2963,0.051,False,I,1
57712.17784,19.3733,0.039,False,I,1
57719.16936,19.4033,0.043,False,I,1
57736.2532,19.3883,0.063,False,I,1
57740.22782,19.6093,0.056,False,I,1
57745.09571,19.5723,0.057,False,I,1
57747.18614,19.5503,0.047,False,I,1
57754.26695,19.6383,0.05,False,I,1
57759.24397,19.6073,0.051,False,I,1
57764.22449,19.6423,0.077,False,I,1
57768.22922,19.5743,0.073,False,I,1
57774.24717,19.7643,0.08,False,I,1
57783.12837,19.8673,0.055,False,I,1
57786.1773,19.9713,0.069,False,I,1
57791.02515,19.9993,0.1,False,I,1
57795.04689,19.9783,0.123,False,I,1
57799.03246,20.0003,0.095,False,I,1
57807.06345,20.1653,0.1,False,I,1
57809.06481,20.0183,0.08,False,I,1
57814.98426,20.3213,0.122,False,I,1
57818.99313,20.3933,0.125,False,I,1
57823.97315,20.4543,0.159,False,I,1
57828.96831,20.7853,0.171,False,I,1
57837.97132,20.8363,0.181,False,I,1
57843.95399,21.1123,0.327,False,I,1
57854.94529,20.9783,0.262,False,I,1
57871.98566,21.3763,0.436,False,I,1
