mjd,mag,mag_err,UL,filter,detected
56980.32,24.6342,0.29,False,r,1
56980.33,24.0555,0.29,False,z,1
56988.03,23.8206,0.22,False,i,1
56988.03,24.0642,0.2,False,r,1
56991.15,23.6142,0.36,False,r,1
56991.16,23.3606,0.33,False,i,1
56992.14,23.4642,0.18,False,r,1
56992.14,23.7355,0.23,False,z,1
56992.14,23.8239,0.33,False,g,1
56992.14,24.0806,0.29,False,i,1
57001.3,22.8042,0.26,False,r,1
57001.31,22.4755,0.2,False,z,1
57008.11,22.3639,0.03,False,g,1
57008.11,22.4642,0.04,False,r,1
57008.12,22.6406,0.06,False,i,1
57008.12,22.7555,0.08,False,z,1
57012.08,22.3042,0.04,False,r,1
57012.08,22.3339,0.03,False,g,1
57012.09,22.5506,0.06,False,i,1
57012.09,22.5655,0.07,False,z,1
57018.07,22.4242,0.08,False,r,1
57018.07,22.6939,0.09,False,g,1
57018.08,22.4055,0.11,False,z,1
57018.08,22.5806,0.11,False,i,1
57019.07,22.3542,0.06,False,r,1
57019.07,22.4739,0.07,False,g,1
57019.07,22.5206,0.07,False,i,1
57019.08,22.7055,0.11,False,z,1
57026.17,22.5506,0.11,False,i,1
57026.17,22.5942,0.13,False,r,1
57026.17,22.6455,0.11,False,z,1
57026.17,23.0139,0.26,False,g,1
57033.16,22.7842,0.07,False,r,1
57033.16,23.4239,0.15,False,g,1
57033.17,22.8955,0.14,False,z,1
57040.17,23.7739,0.1,False,g,1
57040.18,22.6555,0.08,False,z,1
57040.18,22.8842,0.06,False,r,1
57040.18,22.9306,0.09,False,i,1
57047.09,22.9355,0.12,False,z,1
57047.09,23.3006,0.13,False,i,1
57047.09,23.5242,0.11,False,r,1
57047.09,24.7139,0.29,False,g,1
57054.04,23.4155,0.18,False,z,1
57054.04,23.7606,0.25,False,i,1
