mjd,mag,mag_err,UL,filter,detected
56577.2,22.3139,0.48,False,r,1
56587.5,20.8939,0.35,False,r,1
56621.3,20.2739,0.19,False,r,1
56626.5,20.1339,0.12,False,r,1
56639.2,19.8539,0.14,False,r,1
56639.2,19.9739,0.27,False,r,1
56640.3,19.8439,0.1,False,r,1
56647.4,19.6339,0.14,False,r,1
56648.3,19.7639,0.06,False,r,1
56662.2,19.5739,0.06,False,r,1
56662.2,19.9214,0.06,False,g,1
56662.2,19.9635,0.17,False,i,1
56663.1,19.6635,0.05,False,i,1
56667.4,19.7539,0.1,False,r,1
56667.4,19.9014,0.08,False,g,1
56671.2,19.6135,0.09,False,i,1
56672.2,19.7435,0.14,False,i,1
56673.1,19.6735,0.13,False,i,1
56673.1,20.0514,0.21,False,g,1
56675.3,19.4839,0.19,False,r,1
56680.1,19.6239,0.05,False,r,1
56680.1,19.6835,0.07,False,i,1
56680.1,19.9614,0.04,False,g,1
56685.1,19.5635,0.06,False,i,1
56685.1,19.6739,0.05,False,r,1
56685.1,19.9914,0.04,False,g,1
56697.1,19.6235,0.04,False,i,1
56697.1,19.6939,0.05,False,r,1
56697.1,20.1814,0.07,False,g,1
56702.5,19.6235,0.03,False,i,1
56702.5,19.7139,0.03,False,r,1
56702.5,20.2114,0.03,False,g,1
56703.2,19.6539,0.04,False,r,1
56703.2,19.7035,0.04,False,i,1
56703.2,20.3414,0.07,False,g,1
56710.2,19.7139,0.03,False,r,1
56710.2,20.3414,0.04,False,g,1
56710.2,19.7035,0.04,False,i,1
56721.2,19.6435,0.06,False,i,1
56721.3,19.8639,0.07,False,r,1
56727.1,19.9439,0.09,False,r,1
56728.1,20.1639,0.12,False,r,1
56728.6,19.7435,0.12,False,i,1
56729.1,19.9639,0.1,False,r,1
56730.1,20.0139,0.1,False,r,1
56731.1,19.8939,0.06,False,r,1
56732.1,19.9939,0.08,False,r,1
56732.2,20.7514,0.17,False,g,1
56732.9,19.7235,0.09,False,i,1
56733.1,19.9839,0.05,False,r,1
56733.1,20.7114,0.12,False,g,1
56735.2,20.0839,0.07,False,r,1
56735.2,20.6314,0.08,False,g,1
56736.2,20.0739,0.05,False,r,1
56736.2,20.7714,0.05,False,g,1
56736.7,19.7935,0.08,False,i,1
56737.3,20.0139,0.07,False,r,1
56737.3,20.8114,0.1,False,g,1
56744.8,19.8635,0.11,False,i,1
56745.3,20.4439,0.09,False,r,1
56745.3,21.0814,0.11,False,g,1
56910.5,21.8539,0.05,False,r,1
56951.6,22.2439,0.07,False,r,1
56951.6,23.7114,0.08,False,g,1
56980.6,22.5439,0.07,False,r,1
56980.6,23.9914,0.08,False,g,1
57044.4,23.0639,0.07,False,r,1
57044.4,24.4914,0.08,False,g,1
57071.2,23.2339,0.08,False,r,1
57104.0,23.5139,0.1,False,r,1
57104.0,24.6114,0.1,False,g,1
