mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58297.29,20.48,,True,r,AB,0,r,6141.12
58300.32,21.22,,True,r,AB,0,r,6141.12
58303.3,21.42,,True,r,AB,0,r,6141.12
58306.19,21.23,,True,r,AB,0,r,6141.12
58311.19,20.76,0.15,False,r,AB,1,r,6141.12
58324.17,19.48,0.11,False,r,AB,1,r,6141.12
58327.27,19.23,0.13,False,r,AB,1,r,6141.12
58330.3,19.25,0.1,False,r,AB,1,r,6141.12
58333.16,19.09,0.06,False,r,AB,1,r,6141.12
58336.21,19.0,0.03,False,r,AB,1,r,6141.12
58340.18,18.93,0.04,False,r,AB,1,r,6141.12
58343.16,18.94,0.04,False,r,AB,1,r,6141.12
58346.16,18.72,0.03,False,g,AB,1,g,4671.78
58346.18,18.85,0.04,False,r,AB,1,r,6141.12
58349.16,18.78,0.05,False,g,AB,1,g,4671.78
58352.15,18.79,0.06,False,g,AB,1,g,4671.78
58352.23,18.92,0.07,False,r,AB,1,r,6141.12
58356.21,18.89,0.07,False,r,AB,1,r,6141.12
58359.24,18.85,0.13,False,r,AB,1,r,6141.12
58362.15,19.08,0.04,False,r,AB,1,r,6141.12
58362.19,18.97,0.06,False,g,AB,1,g,4671.78
58365.22,19.2,0.06,False,g,AB,1,g,4671.78
58369.13,19.27,0.07,False,r,AB,1,r,6141.12
58369.23,19.5,0.09,False,g,AB,1,g,4671.78
58373.13,19.66,0.11,False,r,AB,1,r,6141.12
58373.2,19.89,0.14,False,g,AB,1,g,4671.78
58387.18,19.8,,True,g,AB,0,g,4671.78
58387.88,20.16,,True,u,AB,0,u,3513.68
58387.88,20.65,,True,g,AB,0,g,4671.78
58387.89,19.69,0.14,False,r,AB,1,r,6141.12
58387.89,19.78,0.16,False,i,AB,1,i,7589.41
