mjd,mag,mag_err,UL,filter,detected
58694.46,19.27,0.07,False,g,1
58694.48,19.49,0.1,False,r,1
58698.46,19.55,0.2,False,g,1
58698.5,19.46,0.16,False,r,1
58705.48,19.5,0.12,False,r,1
58705.554812,19.3405,0.1303,False,cyan,1
58711.42,19.51,0.17,False,r,1
58711.49,19.77,,True,g,0
58712.44,19.15,0.14,False,r,1
58713.5,19.29,0.19,False,r,1
58714.42,19.36,0.14,False,r,1
58714.48,19.39,0.15,False,g,1
58715.54365,19.105,0.2805,False,orange,1
58717.631372,19.3496,0.3247,False,orange,1
58719.48,19.3,0.14,False,r,1
58721.58352,19.4877,0.1598,False,cyan,1
58722.46,19.44,0.11,False,g,1
58723.617915,19.5591,0.2436,False,orange,1
58725.46,19.45,0.11,False,g,1
58729.606064,19.5464,0.142,False,cyan,1
58730.49,19.48,0.08,False,r,1
58733.46,19.56,0.13,False,g,1
58733.5,19.55,0.18,False,r,1
58735.486578,19.0199,0.1796,False,orange,1
58736.5,19.45,0.15,False,r,1
58739.46,19.44,0.24,False,r,1
58745.12,19.4,0.14,False,r,1
58745.12,19.48,0.17,False,z,1
58745.12,19.53,0.13,False,i,1
58745.44,19.47,0.22,False,r,1
58748.44,19.58,0.18,False,r,1
58748.5,19.89,0.25,False,g,1
58751.31,19.54,0.16,False,r,1
58751.4,19.87,0.21,False,g,1
58751.543609,19.7037,0.2842,False,orange,1
58753.635958,19.7307,0.2542,False,cyan,1
58755.51199,19.7234,0.04,False,w,1
58755.541025,19.6675,0.2712,False,orange,1
58757.4,20.08,0.25,False,g,1
58759.623914,19.8433,0.3148,False,orange,1
58760.33,19.72,0.22,False,r,1
58760.38,20.0,0.27,False,g,1
58761.580635,20.0037,0.2056,False,cyan,1
58763.477266,19.7151,0.3313,False,orange,1
58764.38,20.17,0.21,False,g,1
58764.42,19.78,0.14,False,r,1
58767.02,19.52,0.12,False,i,1
58767.02,19.56,0.18,False,r,1
58767.02,19.83,0.18,False,g,1
58767.03,19.61,0.14,False,z,1
58767.51,19.54,0.21,False,r,1
58777.457217,19.8526,0.3508,False,orange,1
58778.05,19.87,0.08,False,i,1
58778.05,19.99,0.19,False,r,1
58778.05,20.47,0.13,False,g,1
58779.479416,19.9672,0.3517,False,orange,1
58780.462047,19.8814,0.3332,False,orange,1
58781.483919,20.3967,0.328,False,cyan,1
58783.456576,19.9801,0.3575,False,orange,1
58785.524758,20.4936,0.353,False,cyan,1
58787.450305,19.2281,,True,orange,0
58790.386036,19.993,,True,cyan,0
58794.336428,19.3829,,True,orange,0
58796.325305,19.2485,,True,orange,0
58801.421748,19.495,,True,orange,0
58804.98,21.39,0.27,False,g,1
58804.99,20.22,0.08,False,i,1
58804.99,20.49,0.14,False,r,1
58808.419874,19.318,,True,orange,0
58812.424127,19.5291,,True,orange,0
58813.492304,20.4156,,True,cyan,0
58815.385515,19.7625,,True,orange,0
58821.399058,19.4997,,True,orange,0
58827.375136,19.504,,True,orange,0
58833.371904,19.5918,,True,orange,0
58845.358826,20.6461,,True,cyan,0
58851.418292,19.429,,True,orange,0
58871.318873,19.8904,,True,orange,0
58873.313128,20.5759,,True,cyan,0
58877.140625,21.877,0.094,False,i,1
58877.299938,19.7044,,True,orange,0
58879.294553,19.4058,,True,orange,0
59898.183593,25.5247,,True,r,0
