mjd,mag,mag_err,UL,filter,System,detected
58609.615515,19.9906,,True,cyan,AB,0
58619.590019,19.6711,,True,orange,AB,0
58621.551137,19.19,,True,orange,AB,0
58625.540395,19.4792,,True,orange,AB,0
58637.591823,20.2961,,True,cyan,AB,0
58643.596572,19.879,,True,orange,AB,0
58645.599151,19.7963,,True,orange,AB,0
58647.572993,19.4671,,True,orange,AB,0
58649.446524,19.304,,True,orange,AB,0
58657.441566,19.5477,,True,orange,AB,0
58659.564045,19.8681,,True,orange,AB,0
58663.557704,19.0286,,True,orange,AB,0
58665.567203,20.3836,,True,cyan,AB,0
58667.543746,19.5969,,True,orange,AB,0
58669.577912,20.4723,,True,cyan,AB,0
58670.564237,20.4503,,True,cyan,AB,0
58671.569909,20.4558,,True,cyan,AB,0
58672.405189,19.8685,,True,orange,AB,0
58674.539057,19.6074,,True,orange,AB,0
58679.402976,18.9889,,True,orange,AB,0
58685.585267,19.4222,,True,orange,AB,0
58689.526725,19.844,,True,orange,AB,0
58691.497326,20.1251,,True,orange,AB,0
58693.355468,21.3049,0.3746,False,r,AB,1
58693.371188,20.0798,,True,cyan,AB,0
58695.473761,19.9595,,True,orange,AB,0
58699.425781,21.6138,0.377,False,g,AB,1
58699.533981,19.9114,,True,orange,AB,0
58703.497809,19.9107,,True,orange,AB,0
58705.386483,19.2823,,True,cyan,AB,0
58706.390625,20.8398,0.4119,False,r,AB,1
58713.464887,19.7985,,True,orange,AB,0
58715.450355,19.008,,True,orange,AB,0
58716.367187,20.2554,0.2783,False,r,AB,1
58716.405995,20.3718,0.23,False,i,AB,1
58717.410625,19.1801,,True,orange,AB,0
58719.238281,20.1609,0.2514,False,g,AB,1
58719.371093,19.7556,0.2394,False,r,AB,1
58719.378993,20.2618,0.04,False,w,AB,1
58719.455991,19.2712,,True,orange,AB,0
58721.397496,19.7723,0.2059,False,cyan,AB,1
58723.424073,19.8853,0.33,False,orange,AB,1
58725.316406,19.749,0.099,False,g,AB,1
58725.316406,19.7801,0.0914,False,g,AB,1
58729.391729,20.2364,0.3023,False,cyan,AB,1
58732.300781,19.7474,0.1967,False,g,AB,1
58743.25,19.7756,0.3787,False,r,AB,1
58745.226067,18.9514,,True,orange,AB,0
58747.300781,19.9791,0.0815,False,g,AB,1
58750.253906,19.6597,0.1913,False,r,AB,1
58750.253906,20.2332,0.4828,False,r,AB,1
58751.331578,19.6122,0.2554,False,orange,AB,1
58753.365092,19.6825,0.1856,False,cyan,AB,1
58755.396859,19.4331,0.2266,False,orange,AB,1
58759.374605,19.2694,,True,orange,AB,0
58760.253906,19.7046,0.0672,False,r,AB,1
58761.207031,19.6018,0.1082,False,r,AB,1
58761.220232,19.4179,0.2419,False,orange,AB,1
58766.1875,19.7296,0.2339,False,r,AB,1
58769.125,19.7495,0.2549,False,r,AB,1
58769.338245,19.231,0.2723,False,orange,AB,1
58771.313788,19.1468,,True,orange,AB,0
58773.316872,19.441,0.3568,False,orange,AB,1
58775.290757,19.8281,0.3403,False,orange,AB,1
58776.183593,20.3322,0.1358,False,g,AB,1
58776.183593,20.6264,0.4493,False,g,AB,1
58776.191406,20.7194,0.511,False,r,AB,1
58776.191406,19.8829,0.2922,False,r,AB,1
58779.183593,21.1631,0.1405,False,g,AB,1
58779.294766,19.5113,,True,orange,AB,0
58781.319359,19.7706,,True,cyan,AB,0
58782.183593,20.1066,0.1806,False,r,AB,1
58782.210937,20.4127,0.1494,False,g,AB,1
58783.33111,19.3882,,True,orange,AB,0
58785.179687,20.8493,0.4151,False,g,AB,1
58785.287839,20.1519,,True,cyan,AB,0
58787.349062,19.1473,,True,orange,AB,0
58789.183593,20.2063,0.2983,False,g,AB,1
58789.210937,20.7723,0.3678,False,r,AB,1
58789.275372,19.5017,,True,orange,AB,0
58795.320362,19.5229,,True,orange,AB,0
58797.128906,20.9597,0.2261,False,g,AB,1
58797.282412,19.5915,,True,orange,AB,0
58799.258629,19.5477,,True,orange,AB,0
58800.288457,19.2093,,True,orange,AB,0
58801.282945,19.3913,,True,orange,AB,0
58802.117187,20.9232,0.0576,False,r,AB,1
58802.121093,20.3993,0.2177,False,i,AB,1
58810.09375,20.357,0.2277,False,g,AB,1
58810.101562,20.7226,0.4531,False,i,AB,1
58811.265485,19.6664,,True,orange,AB,0
58812.089843,21.1099,0.4252,False,r,AB,1
58814.074218,19.8313,,True,r,AB,0
58815.220275,19.8514,,True,orange,AB,0
58817.208325,19.989,,True,cyan,AB,0
58821.220817,19.5125,,True,orange,AB,0
58825.206526,19.0039,,True,orange,AB,0
58827.20351,19.6444,,True,orange,AB,0
58829.237363,19.0405,,True,orange,AB,0
58834.200544,19.1981,,True,cyan,AB,0
58837.207875,19.1727,,True,orange,AB,0
58951.626484,19.6731,,True,orange,AB,0
58967.607062,19.569,,True,orange,AB,0
58969.565738,20.1335,,True,cyan,AB,0
58971.60589,19.413,,True,orange,AB,0
58973.608622,19.7649,,True,orange,AB,0
58976.607161,19.526,,True,orange,AB,0
58987.601262,19.8658,,True,orange,AB,0
58989.602056,20.1845,,True,cyan,AB,0
58991.547494,19.9412,,True,orange,AB,0
58995.576327,19.124,,True,orange,AB,0
58997.590614,20.8586,,True,cyan,AB,0
58999.577351,19.9637,,True,orange,AB,0
59000.585874,20.0203,,True,orange,AB,0
59001.577886,20.5508,,True,cyan,AB,0
59003.53592,19.4937,,True,orange,AB,0
59004.505948,19.4406,,True,orange,AB,0
59005.536689,19.087,,True,orange,AB,0
59007.521191,19.7862,,True,orange,AB,0
