mjd,mag,mag_err,UL,filter,System,detected
54910.417,19.71,0.11,False,g,AB,1
54915.164,19.85,0.14,False,g,AB,1
54915.244,19.72,0.12,False,g,AB,1
54918.197,20.13,0.11,False,r,AB,1
54918.199,19.8,0.12,False,i,AB,1
54918.21,20.19,0.15,False,g,AB,1
54919.195,20.19,0.12,False,r,AB,1
54919.197,19.86,0.13,False,i,AB,1
54920.235,20.38,0.22,False,r,AB,1
54921.206,20.85,0.27,False,g,AB,1
54921.248,20.29,0.13,False,r,AB,1
54921.249,19.91,0.13,False,i,AB,1
54921.294,20.37,0.16,False,g,AB,1
54922.186,20.32,0.19,False,r,AB,1
54922.187,19.89,0.18,False,i,AB,1
54923.199,20.77,0.25,False,g,AB,1
54923.283,20.4,0.13,False,r,AB,1
54923.285,19.99,0.14,False,i,AB,1
54923.286,20.7,0.22,False,g,AB,1
54925.376,20.47,0.26,False,r,AB,1
54925.377,20.37,0.28,False,i,AB,1
54926.214,20.82,0.22,False,r,AB,1
54926.215,20.25,0.19,False,i,AB,1
54927.223,20.04,0.21,False,i,AB,1
54928.297,20.72,0.22,False,r,AB,1
54928.299,20.39,0.21,False,i,AB,1
54934.333,21.42,0.27,False,r,AB,1
54934.335,20.68,0.21,False,i,AB,1
54935.427,20.51,0.34,False,i,AB,1
54938.202,21.39,0.24,False,r,AB,1
54938.204,21.05,0.25,False,i,AB,1
