mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57012.1,22.7174,0.03,False,g,AB,1,g,4769.9
57012.11,22.971,0.03,False,r,AB,1,r,6370.44
57012.13,23.2557,0.05,False,i,AB,1,i,7774.3
57012.17,23.4669,0.2,False,z,AB,1,z,9154.88
57018.1,22.6774,0.04,False,g,AB,1,g,4769.9
57018.14,22.871,0.04,False,r,AB,1,r,6370.44
57018.16,22.8157,0.05,False,i,AB,1,i,7774.3
57019.12,23.1269,0.06,False,z,AB,1,z,9154.88
57025.1,23.051,0.09,False,r,AB,1,r,6370.44
57025.12,23.0757,0.08,False,i,AB,1,i,7774.3
57026.13,23.2669,0.08,False,z,AB,1,z,9154.88
57029.05,24.3374,0.31,False,g,AB,1,g,4769.9
57032.07,22.801,0.03,False,r,AB,1,r,6370.44
57032.09,22.7157,0.04,False,i,AB,1,i,7774.3
57033.07,22.7169,0.04,False,z,AB,1,z,9154.88
57036.04,22.9174,0.04,False,g,AB,1,g,4769.9
57038.12,22.121,0.01,False,r,AB,1,r,6370.44
57039.05,22.0857,0.02,False,i,AB,1,i,7774.3
57040.08,22.1769,0.02,False,z,AB,1,z,9154.88
57042.07,22.0774,0.02,False,g,AB,1,g,4769.9
57044.08,21.631,0.01,False,r,AB,1,r,6370.44
57044.1,21.6657,0.02,False,i,AB,1,i,7774.3
57045.08,21.7769,0.03,False,z,AB,1,z,9154.88
57049.06,21.5174,0.04,False,g,AB,1,g,4769.9
57051.07,21.171,0.01,False,r,AB,1,r,6370.44
57051.09,21.2757,0.01,False,i,AB,1,i,7774.3
57052.07,21.4169,0.01,False,z,AB,1,z,9154.88
57060.03,20.811,0.01,False,r,AB,1,r,6370.44
57060.04,20.9257,0.01,False,i,AB,1,i,7774.3
57060.04,21.0274,0.01,False,g,AB,1,g,4769.9
57060.05,21.0769,0.02,False,z,AB,1,z,9154.88
57078.01,20.541,0.03,False,r,AB,1,r,6370.44
57078.02,20.5957,0.02,False,i,AB,1,i,7774.3
57078.03,20.7469,0.03,False,z,AB,1,z,9154.88
57078.04,20.8074,0.04,False,g,AB,1,g,4769.9
57092.0,20.461,0.03,False,r,AB,1,r,6370.44
57092.01,20.9174,0.04,False,g,AB,1,g,4769.9
57211.36,23.2557,0.3,False,i,AB,1,i,7774.3
57211.39,22.6269,0.24,False,z,AB,1,z,9154.88
57228.33,22.8669,0.13,False,z,AB,1,z,9154.88
57228.34,23.0557,0.1,False,i,AB,1,i,7774.3
57228.35,24.301,0.2,False,r,AB,1,r,6370.44
57249.3,24.9374,0.3,False,g,AB,1,g,4769.9
57249.31,24.471,0.16,False,r,AB,1,r,6370.44
57249.33,23.8157,0.1,False,i,AB,1,i,7774.3
57249.36,23.5669,0.09,False,z,AB,1,z,9154.88
57253.36,24.791,0.18,False,r,AB,1,r,6370.44
57253.38,23.9557,0.1,False,i,AB,1,i,7774.3
57255.3,23.5269,0.15,False,z,AB,1,z,9154.88
57257.34,24.811,0.18,False,r,AB,1,r,6370.44
57257.36,23.9257,0.08,False,i,AB,1,i,7774.3
57265.26,23.7969,0.15,False,z,AB,1,z,9154.88
57265.4,23.8457,0.15,False,i,AB,1,i,7774.3
57273.35,24.1657,0.12,False,i,AB,1,i,7774.3
57273.39,23.6069,0.09,False,z,AB,1,z,9154.88
57278.22,24.621,0.16,False,r,AB,1,r,6370.44
57283.2,24.5557,0.17,False,i,AB,1,i,7774.3
57283.23,23.7669,0.08,False,z,AB,1,z,9154.88
57287.24,24.771,0.29,False,r,AB,1,r,6370.44
57287.27,24.2057,0.17,False,i,AB,1,i,7774.3
57287.31,23.8269,0.16,False,z,AB,1,z,9154.88
57291.24,24.421,0.34,False,r,AB,1,r,6370.44
57291.27,24.0669,0.14,False,z,AB,1,z,9154.88
57297.28,24.5457,0.29,False,i,AB,1,i,7774.3
57297.32,23.8469,0.18,False,z,AB,1,z,9154.88
57302.16,24.1769,0.17,False,z,AB,1,z,9154.88
57305.32,24.1957,0.23,False,i,AB,1,i,7774.3
57311.15,24.8857,0.18,False,i,AB,1,i,7774.3
57311.18,24.0469,0.1,False,z,AB,1,z,9154.88
57317.12,24.1769,0.16,False,z,AB,1,z,9154.88
57325.09,24.5057,0.33,False,i,AB,1,i,7774.3
57325.15,23.9969,0.24,False,z,AB,1,z,9154.88
57327.19,24.971,0.22,False,r,AB,1,r,6370.44
57329.08,24.6157,0.22,False,i,AB,1,i,7774.3
57329.14,24.2069,0.18,False,z,AB,1,z,9154.88
